"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 28 02:55:18 MSK 2020","Mon Dec 28 02:55:28 MSK 2020","10394","","tests.AllureTest","","tests.AllureTest","depositRenCredit1","depositRenCredit1",""
"passed","Mon Dec 28 02:55:29 MSK 2020","Mon Dec 28 02:55:38 MSK 2020","9758","","tests.AllureTest","","tests.AllureTest","depositRenCredit2","depositRenCredit2",""
