"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Тест Ренесcанc Вклады","Тест вклада в рублях","","0","0","1","0","0"
"Тест Ренесcанc Вклады","Тест вклада в долларах","","0","0","1","0","0"
